School_Year,Semester,Course,1st_year_enrollees,2nd_year_enrollees,3rd_year_enrollees,4th_year_enrollees,total_enrollees
2008-2009,1st,BSCS,25,19,21,11,76
2008-2009,1st,BSIT,168,47,41,25,281
2008-2009,1st,BSBA-MARKETING_MANAGEMENT,11,5,0,1,17
2008-2009,1st,BSBA-FINANCIAL_MANAGEMENT,9,5,0,0,15
2008-2009,2nd,BSCS,23,21,19,11,74
2008-2009,2nd,BSIT,149,48,30,24,251
2008-2009,2nd,BSBA-MARKETING_MANAGEMENT,7,2,0,1,10
2008-2009,2nd,BSBA-FINANCIAL_MANAGEMENT,6,1,0,0,7
2009-2010,1st,BSCS,35,9,11,17,72
2009-2010,1st,BSIT,198,94,37,25,354
2009-2010,1st,BSBA-MARKETING_MANAGEMENT,10,0,0,0,10
2009-2010,1st,BSBA-FINANCIAL_MANAGEMENT,7,3,0,0,10
2009-2010,2nd,BSCS,32,11,8,18,69
2009-2010,2nd,BSIT,177,94,33,31,335
2009-2010,2nd,BSBA-MARKETING_MANAGEMENT,9,0,0,0,9
2009-2010,2nd,BSBA-FINANCIAL_MANAGEMENT,7,3,0,0,10
2010-2011,1st,BSCS,28,15,10,10,63
2010-2011,1st,BSIT,205,120,81,32,438
2010-2011,1st,BSBA-MARKETING_MANAGEMENT,14,6,1,0,21
2010-2011,1st,BSBA-FINANCIAL_MANAGEMENT,23,5,4,0,32
2010-2011,2nd,BSCS,25,16,11,9,61
2010-2011,2nd,BSIT,208,100,75,28,411
2010-2011,2nd,BSBA-MARKETING_MANAGEMENT,13,1,1,0,15
2010-2011,2nd,BSBA-FINANCIAL_MANAGEMENT,30,3,4,0,37
2011-2012,1st,BSCS,30,13,21,6,70
2011-2012,1st,BSIT,301,132,93,62,588
2011-2012,1st,BSBA-MARKETING_MANAGEMENT,40,9,0,0,49
2011-2012,1st,BSBA-FINANCIAL_MANAGEMENT,48,18,4,3,73
2011-2012,2nd,BSCS,20,15,16,10,61
2011-2012,2nd,BSIT,273,126,89,65,553
2011-2012,2nd,BSBA-MARKETING_MANAGEMENT,47,10,1,0,58
2011-2012,2nd,BSBA-FINANCIAL_MANAGEMENT,43,12,3,3,61
2012-2013,1st,BSCS,28,10,11,20,69
2012-2013,1st,BSIT,310,204,102,73,689
2012-2013,1st,BSBA-MARKETING_MANAGEMENT,70,42,16,1,129
2012-2013,1st,BSBA-FINANCIAL_MANAGEMENT,50,34,14,3,101
2012-2013,2nd,BSCS,30,8,7,18,63
2012-2013,2nd,BSIT,247,193,101,79,620
2012-2013,2nd,BSBA-MARKETING_MANAGEMENT,70,40,6,12,128
2012-2013,2nd,BSBA-FINANCIAL_MANAGEMENT,45,22,12,5,84
2013-2014,1st,BSCS,31,22,4,10,67
2013-2014,1st,BSIT,266,223,147,84,720
2013-2014,1st,BSBA-MARKETING_MANAGEMENT,81,47,40,16,184
2013-2014,1st,BSBA-FINANCIAL_MANAGEMENT,82,49,41,17,189
2013-2014,2nd,BSCS,20,18,5,8,51
2013-2014,2nd,BSIT,135,96,56,50,337
2013-2014,2nd,BSBA-MARKETING_MANAGEMENT,103,91,63,45,302
2013-2014,2nd,BSBA-FINANCIAL_MANAGEMENT,104,87,67,40,298
2014-2015,1st,BSCS,54,17,17,5,93
2014-2015,1st,BSIT,352,167,180,107,806
2014-2015,1st,BSBA-MARKETING_MANAGEMENT,90,68,47,38,243
2014-2015,1st,BSBA-FINANCIAL_MANAGEMENT,94,50,40,30,214
2014-2015,2nd,BSCS,44,13,10,7,74
2014-2015,2nd,BSIT,314,115,117,148,694
2014-2015,2nd,BSBA-MARKETING_MANAGEMENT,85,58,40,32,215
2014-2015,2nd,BSBA-FINANCIAL_MANAGEMENT,80,50,40,24,194
2015-2016,1st,BSCS,22,31,15,28,96
2015-2016,1st,BSIT,373,220,117,147,857
2015-2016,1st,BSBA-MARKETING_MANAGEMENT,93,74,50,40,257
2015-2016,1st,BSBA-FINANCIAL_MANAGEMENT,104,73,49,36,262
2015-2016,2nd,BSCS,32,23,15,9,79
2015-2016,2nd,BSIT,326,190,128,127,771
2015-2016,2nd,BSBA-MARKETING_MANAGEMENT,102,54,78,35,269
2015-2016,2nd,BSBA-FINANCIAL_MANAGEMENT,101,53,74,27,255
2016-2017,1st,BSCS,9,32,16,16,73
2016-2017,1st,BSIT,143,269,125,120,657
2016-2017,1st,BSBA-MARKETING_MANAGEMENT,78,89,45,50,262
